count	tp	fp	tn	fn	case	gene
63	5	0	360	40	Guidance	or5
63	5	0	360	40	GuidanceP	or5
63	5	1	359	40	BMweights	or5
63	5	0	360	40	PDweights	or5
63	5	1	359	40	BMweightsP	or5
63	5	0	360	40	PDweightsP	or5
64	5	0	370	28	truealn	or5
64	5	0	370	28	refaln	or5
64	5	0	370	28	Guidance	or5
64	5	0	370	28	GuidanceP	or5
64	5	0	370	28	BMweights	or5
64	5	0	370	28	PDweights	or5
64	5	0	370	28	BMweightsP	or5
64	5	0	370	28	PDweightsP	or5
65	3	0	356	41	truealn	or5
65	3	0	356	41	refaln	or5
65	3	0	356	41	Guidance	or5
65	3	0	356	41	GuidanceP	or5
65	3	0	356	41	BMweights	or5
65	3	0	356	41	PDweights	or5
65	3	0	356	41	BMweightsP	or5
65	3	0	356	41	PDweightsP	or5
66	0	1	383	33	truealn	or5
66	0	1	383	33	refaln	or5
66	0	1	383	33	Guidance	or5
66	0	1	383	33	GuidanceP	or5
66	0	1	383	33	BMweights	or5
66	0	1	383	33	PDweights	or5
66	0	1	383	33	BMweightsP	or5
66	0	1	383	33	PDweightsP	or5
67	3	0	388	34	truealn	or5
67	4	0	388	33	refaln	or5
67	4	0	388	33	Guidance	or5
67	4	0	388	33	GuidanceP	or5
67	4	0	388	33	BMweights	or5
67	4	0	388	33	PDweights	or5
67	4	0	388	33	BMweightsP	or5
67	4	0	388	33	PDweightsP	or5
68	4	0	395	34	truealn	or5
68	5	1	394	33	refaln	or5
68	3	0	395	35	Guidance	or5
68	3	0	395	35	GuidanceP	or5
68	3	0	395	35	BMweights	or5
68	3	0	395	35	PDweights	or5
68	3	0	395	35	BMweightsP	or5
68	3	0	395	35	PDweightsP	or5
69	0	0	381	36	truealn	or5
69	0	0	381	36	refaln	or5
69	0	0	381	36	Guidance	or5
69	0	0	381	36	GuidanceP	or5
69	0	0	381	36	BMweights	or5
69	0	0	381	36	PDweights	or5
69	0	0	381	36	BMweightsP	or5
69	0	0	381	36	PDweightsP	or5
70	4	0	376	27	truealn	or5
70	3	0	376	28	refaln	or5
70	3	0	376	28	Guidance	or5
70	3	0	376	28	GuidanceP	or5
70	3	0	376	28	BMweights	or5
70	3	0	376	28	PDweights	or5
70	3	0	376	28	BMweightsP	or5
70	3	0	376	28	PDweightsP	or5
71	3	0	371	40	truealn	or5
71	3	0	371	40	refaln	or5
71	3	0	371	40	Guidance	or5
71	3	0	371	40	GuidanceP	or5
71	3	0	371	40	BMweights	or5
71	3	0	371	40	PDweights	or5
71	3	0	371	40	BMweightsP	or5
71	3	0	371	40	PDweightsP	or5
72	3	0	390	30	truealn	or5
72	3	0	390	30	refaln	or5
72	3	0	390	30	Guidance	or5
72	3	0	390	30	GuidanceP	or5
72	3	0	390	30	BMweights	or5
72	3	0	390	30	PDweights	or5
72	3	0	390	30	BMweightsP	or5
72	3	0	390	30	PDweightsP	or5
73	5	0	389	29	truealn	or5
73	5	1	388	29	refaln	or5
73	5	1	388	29	Guidance	or5
73	5	1	388	29	GuidanceP	or5
73	5	1	388	29	BMweights	or5
73	5	1	388	29	PDweights	or5
73	5	1	388	29	BMweightsP	or5
73	5	0	389	29	PDweightsP	or5
74	4	0	371	27	truealn	or5
74	3	1	370	28	refaln	or5
74	4	1	370	27	Guidance	or5
74	4	1	370	27	GuidanceP	or5
74	4	1	370	27	BMweights	or5
74	4	1	370	27	PDweights	or5
74	4	1	370	27	BMweightsP	or5
74	4	1	370	27	PDweightsP	or5
75	2	0	390	20	truealn	or5
75	2	0	390	20	refaln	or5
75	2	0	390	20	Guidance	or5
75	2	0	390	20	GuidanceP	or5
75	2	0	390	20	BMweights	or5
75	2	0	390	20	PDweights	or5
75	2	0	390	20	BMweightsP	or5
75	2	0	390	20	PDweightsP	or5
76	2	0	380	28	truealn	or5
76	2	2	378	28	refaln	or5
76	2	2	378	28	Guidance	or5
76	2	2	378	28	GuidanceP	or5
76	2	2	378	28	BMweights	or5
76	2	2	378	28	PDweights	or5
76	2	2	378	28	BMweightsP	or5
76	2	2	378	28	PDweightsP	or5
77	1	0	377	39	truealn	or5
77	1	1	376	39	refaln	or5
77	1	1	376	39	Guidance	or5
77	1	1	376	39	GuidanceP	or5
77	1	1	376	39	BMweights	or5
77	1	1	376	39	PDweights	or5
77	1	1	376	39	BMweightsP	or5
77	1	1	376	39	PDweightsP	or5
78	3	0	374	30	truealn	or5
78	3	0	374	30	refaln	or5
78	3	0	374	30	Guidance	or5
78	3	0	374	30	GuidanceP	or5
78	3	0	374	30	BMweights	or5
78	3	0	374	30	PDweights	or5
78	3	0	374	30	BMweightsP	or5
78	3	0	374	30	PDweightsP	or5
79	5	0	415	28	truealn	or5
79	4	0	415	29	refaln	or5
79	5	0	415	28	Guidance	or5
79	5	0	415	28	GuidanceP	or5
79	5	0	415	28	BMweights	or5
79	5	0	415	28	PDweights	or5
79	5	0	415	28	BMweightsP	or5
79	5	0	415	28	PDweightsP	or5
80	4	0	384	38	truealn	or5
80	4	0	384	38	refaln	or5
80	4	0	384	38	Guidance	or5
80	4	0	384	38	GuidanceP	or5
80	4	0	384	38	BMweights	or5
80	4	0	384	38	PDweights	or5
80	4	0	384	38	BMweightsP	or5
80	4	0	384	38	PDweightsP	or5
81	4	1	373	30	truealn	or5
81	4	1	373	30	refaln	or5
81	4	1	373	30	Guidance	or5
81	4	1	373	30	GuidanceP	or5
81	4	1	373	30	BMweights	or5
81	4	1	373	30	PDweights	or5
81	4	1	373	30	BMweightsP	or5
81	4	1	373	30	PDweightsP	or5
82	2	0	386	38	truealn	or5
82	2	0	386	38	refaln	or5
82	2	0	386	38	Guidance	or5
82	2	0	386	38	GuidanceP	or5
82	2	0	386	38	BMweights	or5
82	2	0	386	38	PDweights	or5
82	2	0	386	38	BMweightsP	or5
82	2	0	386	38	PDweightsP	or5
83	1	0	381	31	truealn	or5
83	2	1	380	30	refaln	or5
83	2	0	381	30	Guidance	or5
83	2	0	381	30	GuidanceP	or5
83	2	0	381	30	BMweights	or5
83	2	0	381	30	PDweights	or5
83	2	0	381	30	BMweightsP	or5
83	2	0	381	30	PDweightsP	or5
84	0	0	385	39	truealn	or5
84	1	1	384	38	refaln	or5
84	1	1	384	38	Guidance	or5
84	0	1	384	39	GuidanceP	or5
84	0	1	384	39	BMweights	or5
84	0	1	384	39	PDweights	or5
84	1	1	384	38	BMweightsP	or5
84	1	1	384	38	PDweightsP	or5
85	4	0	389	43	truealn	or5
85	4	1	388	43	refaln	or5
85	4	0	389	43	Guidance	or5
85	4	0	389	43	GuidanceP	or5
85	4	0	389	43	BMweights	or5
85	4	0	389	43	PDweights	or5
85	4	0	389	43	BMweightsP	or5
85	4	0	389	43	PDweightsP	or5
86	2	1	368	32	truealn	or5
86	2	1	368	32	refaln	or5
86	2	1	368	32	Guidance	or5
86	2	1	368	32	GuidanceP	or5
86	2	1	368	32	BMweights	or5
86	2	1	368	32	PDweights	or5
86	2	1	368	32	BMweightsP	or5
86	2	1	368	32	PDweightsP	or5
87	5	0	405	46	truealn	or5
87	4	0	405	47	refaln	or5
87	5	0	405	46	Guidance	or5
87	5	0	405	46	GuidanceP	or5
87	5	0	405	46	BMweights	or5
87	5	0	405	46	PDweights	or5
87	5	0	405	46	BMweightsP	or5
87	5	0	405	46	PDweightsP	or5
88	4	0	379	27	truealn	or5
88	3	0	379	28	refaln	or5
88	3	0	379	28	Guidance	or5
88	3	0	379	28	GuidanceP	or5
88	3	0	379	28	BMweights	or5
88	3	0	379	28	PDweights	or5
88	3	0	379	28	BMweightsP	or5
88	3	0	379	28	PDweightsP	or5
89	3	0	380	37	truealn	or5
89	3	0	380	37	refaln	or5
89	3	0	380	37	Guidance	or5
89	3	0	380	37	GuidanceP	or5
89	3	0	380	37	BMweights	or5
89	3	0	380	37	PDweights	or5
89	3	0	380	37	BMweightsP	or5
89	3	0	380	37	PDweightsP	or5
90	3	0	398	28	truealn	or5
90	3	0	398	28	refaln	or5
90	3	0	398	28	Guidance	or5
90	3	0	398	28	GuidanceP	or5
90	3	0	398	28	BMweights	or5
90	3	0	398	28	PDweights	or5
90	3	0	398	28	BMweightsP	or5
90	3	0	398	28	PDweightsP	or5
91	5	2	367	33	truealn	or5
91	5	2	367	33	refaln	or5
91	5	2	367	33	Guidance	or5
91	5	2	367	33	GuidanceP	or5
91	5	2	367	33	BMweights	or5
91	5	2	367	33	PDweights	or5
91	5	2	367	33	BMweightsP	or5
91	5	2	367	33	PDweightsP	or5
92	5	0	386	27	truealn	or5
92	4	0	386	28	refaln	or5
92	4	0	386	28	Guidance	or5
92	4	0	386	28	GuidanceP	or5
92	4	0	386	28	BMweights	or5
92	4	0	386	28	PDweights	or5
92	4	0	386	28	BMweightsP	or5
92	4	0	386	28	PDweightsP	or5
93	3	0	423	39	truealn	or5
93	2	0	423	40	refaln	or5
93	2	0	423	40	Guidance	or5
93	2	0	423	40	GuidanceP	or5
93	2	0	423	40	BMweights	or5
93	2	0	423	40	PDweights	or5
